"","channel_name","location","channel_id","lat_long2","no_videos","wordcount","mean_syl_sec","latitude","longitude","scaled_count","local_gvalues1","local_gvalues5","local_gvalues10","local_gvalues25","local_gvalues50","inv_dist200","inv_dist1000"
"1 1","Ownby US/VA Government","Richmond, Virginia","UCMJ9hCPzPs_DiPcX-GQEjZw","(37.5633011, -77.4569801)",4,1478,6.58901918002889,37.5633011,-77.4569801,30703.125,0.590098628150799,2.63797466088494,1.83204514482641,0.0612074398829367,0.198850987602853,-1.54103609190816,-1.71120768373819
"1 2","Florida Government","St. Petersburg, Florida","UCy9172bFY8usKzYt_KQGBJw","(27.7739864, -82.64083219999999)",4,3140,5.87684046868098,27.7739864,-82.6408322,30703.125,1.37976336571301,1.39585652014731,0.985017983626949,1.69748276796683,0.291821641544571,-0.0216284862782633,-0.403245068097165
"1 3","Pennsylvania Municipal League","Harrisburg, Pennsylvania","UC4XZkKTzJb1Mn4PBweUcP6Q","(40.2627665, -76.8867669)",32,14796,5.66117322758629,40.2627665,-76.8867669,37265.625,0.701988247428617,0.618204941425097,0.339549749919106,1.35846277423939,1.40435693921473,0.0210977731705854,-0.540697065123562
"1 4","Town of Wiggins","Wiggins, Colorado","UCLfzJYfsilF0D3dQGKMpGbw","(40.2305363, -104.0727278)",19,319767,5.56955681370046,40.2305363,-104.0727278,34218.75,2.76565409479617,1.95689457315734,1.0414149272388,0.63652823857238,1.18448689486656,0.523722694297311,0.734097222992338
"1 5","Orange County, NY Government","Orange County, New York","UCU3TVLdskRq8PPcLuNugy1A","(41.3911653, -74.3118212)",2,12876,5.56852803415124,41.3911653,-74.3118212,30234.375,1.15427136588274,0.558927803051425,0.169670620657356,0.367891183487022,0.0182015743000538,0.110622063660846,-0.0348610872695631
"1 6","Greenville Wisconsin","Greenville, Wisconsin","UCJdbHHH0GVrnrLQ2P5rsy9Q","(44.3002628, -88.53649539999999)",32,103818,5.55611888851285,44.3002628,-88.5364954,37265.625,0.987124943409506,1.14770834961403,0.57355529645668,1.83205334099135,1.76529901350998,-0.245314878718407,0.0998962578058326
"1 7","News Now Colorado","Colorado Springs, Colorado","UCmQIlF7oc5d4MFoqCLYWxrA","(38.841051, -104.739221)",16,15606,5.54658947621471,38.841051,-104.739221,33515.625,1.19189800266103,1.78236059272694,0.777927490946632,0.976252239193517,0.875392770752747,-1.74958983967784,0.665904412982247
"1 8","Prince George's County Government","Upper Marlboro, Maryland","UCO2d1EtrwB-VuFJAOxsApLg","(38.8180043, -76.7508472)",1,14954,5.54460142617823,38.8180043,-76.7508472,30000,0.0984227645839254,1.03756007117823,0.411974364282605,1.56892190625584,0.382885986812262,0.774026195760364,0.00569255314689482
"1 9","City of Lewiston, ME","Lewiston, Maine","UCprFi23oI7DclYQ8kxx_mmQ","(44.100351, -70.21477639999999)",14,17614,5.53331518988164,44.100351,-70.2147764,33046.875,0.737271872386159,0.732885600920229,0.0848155269788139,-0.143265829292605,-0.418715820073415,-0.513425217684955,-0.539785140050375
"1 10","CityofDurhamNC","Durham, North Carolina","UCHUDjJ4VIFaf3a9ap9s5qEA","(35.9940329, -78.898619)",225,403093,5.51099549089296,35.9940329,-78.898619,82500,1.2069706666674,0.49992560875685,-0.109727622738397,-0.114645080102322,-1.1554071441809,-0.358895754233821,-0.54262386988143
"1 11","CityOfTitusville","Titusville, Florida","UCvQPDngBunvcPZsioiJuQ_g","(28.6122187, -80.8075537)",10,10104,5.50587027762616,28.6122187,-80.8075537,32109.375,1.87511308157698,1.7898719131341,2.33757304467245,1.8138329662484,-0.0858900240124719,2.05587100367056,1.17242517944955
"1 12","Orange County North Carolina Video","Hillsborough, North Carolina","UCWv68m-BGtw4OBxzOMB8fnQ","(36.0741901, -79.0808665)",38,27582,5.49413202901113,36.0741901,-79.0808665,38671.875,-0.35421273554255,0.49992560875685,-0.745073554874831,-0.308089555915627,-1.20075533477038,-0.658768582875222,-0.651418761404838
"1 13","CO Pearland","Pearland, Texas","UCRAyWlB2d1XLCJ8SHH8xyxQ","(29.5434205, -95.2225551)",31,10862,5.49006141775444,29.5434205,-95.2225551,37031.25,0.165127952915473,0.0292552360460228,0.0957743091921126,0.383791398377164,-0.945277805414609,-1.37873904563488,-1.5210536119979
"1 14","Illinois Youth & Government","Downers Grove, Illinois","UCpPYpbakFJmcoyhF-9mersw","(41.8330175, -88.01940429999999)",7,7989,5.484223686234,41.8330175,-88.0194043,31406.25,0.740722271297069,1.01036499332143,0.151252019872284,-0.0630821027242188,-0.179262917837191,-0.378162997632317,-0.38331689356839
"1 15","City of Mt. Pulaski","Mount Pulaski, Illinois","UCUGntHxJMcrkLQTsfMI0eaw","(40.0108767, -89.282314)",8,27614,5.47535202926086,40.0108767,-89.282314,31640.625,-0.438404747973018,0.195575686431427,-0.514405395803417,-0.313743677707427,-0.710714679556469,-1.11395484388709,-1.95772496541654
"1 16","City of Portage, WI","Portage, Wisconsin","UC1js1AsdSXS9xpPGeQDfHSQ","(43.5391486, -89.46262019999999)",8,2276,5.46559239189559,43.5391486,-89.4626202,31640.625,-0.476464101006205,-0.452577045323825,0.298744950100151,0.338902725689308,0.932364208886931,-0.928564006055812,-0.669149958762015
"1 17","Montana Municipal Interlocal Authority","Helena, Montana","UCTJLv2_9DzbmeSdMrqOzHYQ","(46.616824, -112.030694)",3,2189,5.45441228630935,46.616824,-112.030694,30468.75,0.931295509490311,0.399680370553126,0.324941948327545,0.925368162986961,1.21034933932256,-0.889913629314488,0.515083606653048
"1 18","City of Ammon, Idaho","Ammon, Idaho","UC9fNsA0JthGQ7mD8wB7FJXQ","(43.4696366, -111.9666355)",1,1043,5.44452581593327,43.4696366,-111.9666355,30000,0.0557897690424733,0.306536539634085,0.225761942546977,1.70000586181831,1.65794911280164,0.0926576402912423,1.26386617933761
"1 19","Lake County, FL - Government","Tavares, Florida","UCd3YB4jmtmtKA1VkRXw33aQ","(28.801728, -81.72981)",26,9014,5.43837398122227,28.801728,-81.72981,35859.375,2.01816078383795,2.01816078383795,3.34470956930524,1.87884877001358,-0.0803408301958302,2.34710431003298,1.59029222204294
"1 20","Apache County, AZ","Apache County, Arizona","UC2nB5nlo3B_zC-BapdrSE5A","(35.5313224, -109.3783206)",2,12643,5.43530587954803,35.5313224,-109.3783206,30234.375,-0.207967961665125,0.507997712463986,0.162761811549757,-0.063469602519449,0.420896193351143,-2.47833214680685,0.0808669011313834
"1 21","Utah Office of the State Auditor Local Government Division","Salt Lake City, Utah","UC_zj1HbPzVfj5hzv89KCu6w","(40.7775314, -111.8878716)",6,1611,5.43277947148577,40.7775314,-111.8878716,31171.875,0.528694038154261,0.732304746152945,0.779914567451381,0.729486532533043,1.11871514541019,0.117818394648436,0.422510182271715
"1 22","Green Government Montgomery County MD","Bethesda, Maryland","UCvrndKse0tZwqiF70tW7m_w","(38.9850174, -77.08889719999999)",9,3923,5.43201620359157,38.9850174,-77.0888972,31875,-0.216233556247711,0.707008334638926,0.897150335719547,0.910368719265637,0.225919116749593,0.220501351773068,-0.20581121315684
"1 23","League of Minnesota Cities","St Paul, Minnesota","UC7dPiX83ITyP5YJokRKC8rw","(44.95609, -93.10669)",16,8733,5.42550895373206,44.95609,-93.10669,33515.625,2.21137138844618,2.11606875295723,2.49265612202517,1.50813465117732,0.361610553834651,1.65393506742058,1.61644252761439
"1 24","NM Youth And Government","Albuquerque, New Mexico","UC6ZG3Yjs3LoQnRtvrbZ0gYg","(35.1116958, -106.6320615)",4,4842,5.41198354228357,35.1116958,-106.6320615,30703.125,-0.0928122932128431,0.494384624360698,0.948968833690804,0.420384676629781,0.727242548807665,-0.00673078039882373,0.369877853907267
